コア数	早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
16	0	99999999999999999	1	300	14.285714285714285
15	0	99999999999999999	1	300	15.238095238095237
14	0	99999999999999999	1	300	16.3265306122449
13	0	99999999999999999	1	300	17.58241758241758
12	0	99999999999999999	1	300	19.047619047619047
11	0	99999999999999999	1	300	20.77922077922078
10	0	99999999999999999	1	300	22.857142857142854
9	0	99999999999999999	1	300	25.396825396825395
8	0	99999999999999999	1	300	28.57142857142857
7	0	99999999999999999	1	300	32.6530612244898
6	0	99999999999999999	1	300	38.095238095238095
5	0	99999999999999999	1	300	45.714285714285715
4	0	99999999999999999	1	300	57.14285714285714
3	0	99999999999999999	1	300	74.35897435897435
2	0	99999999999999999	1	240	96.45669291338584
1	1	179	1	207	100.0
